TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
pirs-genome-pe300-size268435456	8.48	2.41	53.45	277768	0	133250	292175	576
dwgsim-genome-pe300-size268435456	37.29	2.01	35.27	4467840	0	1114978	1	721
art_original-genome-pe300-size268435456	94.50	5.08	89.41	533784	0	328338	5	887
art_modern-genome-pe300-size268435456	3.76	1.69	20.05	383456	0	156944	51314	405
art_modern_gcc-genome-pe300-size268435456	5.77	1.24	33.24	360072	0	155120	70718	295
wgsim-transcriptome-pe300-size1024	0.06	0.01	0.05	14080	0	928	1	2
dwgsim-transcriptome-pe300-size1024	0.16	0.01	0.14	12000	0	7009	1	22
art_original-transcriptome-pe300-size1024	0.33	0.01	0.31	9920	0	693	1	2
art_modern-transcriptome-pe300-size1024	0.12	0.09	0.13	114932	0	26070	461	63
art_modern_gcc-transcriptome-pe300-size1024	0.12	0.04	0.19	96832	0	24529	478	15
wgsim-transcriptome-pe300-size4096	0.22	0.02	0.19	13760	0	928	1	3
dwgsim-transcriptome-pe300-size4096	0.63	0.07	0.56	12160	0	25440	1	138
art_original-transcriptome-pe300-size4096	1.29	0.08	1.21	10080	0	734	1	7
art_modern-transcriptome-pe300-size4096	0.17	0.08	0.39	118636	0	27774	1358	64
art_modern_gcc-transcriptome-pe300-size4096	0.21	0.05	0.61	100212	0	25896	2032	9
